disposition,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
CANDIDATE,1.131316,,4.6,,,,6292.0,1.32,,,4.27
CONFIRMED,5.2986,,1.7,,,,4114.0,0.5,,0.006,4.8
CONFIRMED,5.29853,,3.32,,,,,0.668,,,
CONFIRMED,5.29711,,1.62,,,,,,0.565,,
CONFIRMED,0.35490972,,1.45,,,,3893.0,0.57,,,
CONFIRMED,0.354884,,1.2,,,,4114.0,0.5,,0.006,4.8
CANDIDATE,4.1029,,2.28,,,,,1.98,,,
CANDIDATE,14.454495,,2.21,,,,4521.0,0.7,,,
CANDIDATE,28.564994,,2.25,,,,4418.0,0.68,,,
CANDIDATE,5.87975,,3.76,,,,4056.0,0.393,,,4.883
CANDIDATE,5.8797,,,,,,4111.0,0.807445,0.643,,4.43205
CANDIDATE,5.8796123,,6.5,,,,4089.0,0.62,,,
CANDIDATE,5.87913354,,,,,,4111.0,0.807445,0.643,,4.43205
CANDIDATE,5.879829,,6.97,,,,,0.701,,,
CANDIDATE,3.2920598,,4.54,,,,3764.0,0.52,,,
CANDIDATE,3.292013,,5.76,,,,,0.674,,,
CANDIDATE,3.291897,,3.39,,,,3850.0,0.395,,,4.882
CANDIDATE,7.445026,,2.2805044,,,,5277.0,0.825169,,0.12,4.65
